timestamp,open,high,low,close,volume
27-12-2021,3420.74,3458.86,3384.31,3393.39,2942341
23-12-2021,3408.56,3439.5,3403,3421.37,1839412
22-12-2021,3385.395,3441,3370.01,3420.74,2751773
21-12-2021,3357.01,3414.3299,3312.95,3408.34,2797791
20-12-2021,3337,3357.4851,3312,3341.58,2868633
17-12-2021,3354.21,3417.97,3312.271,3400.35,4287758
16-12-2021,3467.3714,3483.32,3363.205,3377.42,3043842
15-12-2021,3371.96,3472,3303.9,3466.3,3789713
14-12-2021,3351,3389.98,3328.8,3381.83,2798764
13-12-2021,3440,3442,3382.6,3391.35,3108450
10-12-2021,3508.34,3518.54,3410,3444.24,3034488
09-12-2021,3515,3539.39,3482.79,3483.42,2303091
08-12-2021,3523.01,3543.6,3495.01,3523.16,2262683
07-12-2021,3492,3549.99,3466.69,3523.29,3320536
06-12-2021,3393,3473.91,3338.69,3427.37,3443000
03-12-2021,3455,3469.865,3338.6,3389.79,4035550
02-12-2021,3460,3492.7,3423.75,3437.36,3236288
01-12-2021,3545,3559.88,3441.6,3443.72,3756995
30-11-2021,3563.5,3585.77,3492.01,3507.07,4001107
29-11-2021,3547.6443,3596,3531.5001,3561.57,3265557
26-11-2021,3602.095,3633.5,3504.15,3504.56,2991297
24-11-2021,3562.67,3613.64,3536.85,3580.41,2328018
23-11-2021,3585.04,3621.05,3527.71,3580.04,3692246
22-11-2021,3676.3768,3713.455,3567.5,3572.57,4847850
19-11-2021,3712.69,3762.145,3675.72,3676.57,4946203
18-11-2021,3566.35,3704.2,3561,3696.06,5703538
17-11-2021,3564.72,3587.245,3545.35,3549,2560270
16-11-2021,3539,3576.5,3525.1466,3540.7,2217071
15-11-2021,3537,3593.88,3525.81,3545.68,2929719
12-11-2021,3485,3540.7262,3447.05,3525.15,2636157
11-11-2021,3513,3543.24,3467.47,3472.5,2264406
10-11-2021,3563.87,3605.45,3463.09,3482.05,4027422
09-11-2021,3515.25,3593.77,3501.425,3576.23,4257658
08-11-2021,3523.24,3579,3487.86,3488.98,3073992
05-11-2021,3477,3566.25,3476.98,3518.99,4996951
04-11-2021,3370,3498.625,3365.0001,3477,5353020
03-11-2021,3309,3394.92,3297.52,3384,3397189
02-11-2021,3315.01,3331.115,3283.55,3312.75,2562277
01-11-2021,3361.8,3375.86,3292.02,3318.11,3582044
29-10-2021,3300.02,3374.82,3273.32,3372.43,6486077
28-10-2021,3402.095,3479,3386,3446.57,5708733
27-10-2021,3388,3437,3371.4534,3392.49,2702224
26-10-2021,3349.51,3416.12,3343.98,3376.07,2698342
25-10-2021,3335,3347.7997,3297.7,3320.37,2225956
22-10-2021,3421,3429.84,3331.3,3335.55,3139053
21-10-2021,3414.25,3440.28,3403,3435.01,1881385
20-10-2021,3452.66,3462.86,3400.37,3415.06,2139777
19-10-2021,3434.29,3454.69,3422,3444.15,2386079
18-10-2021,3388.3576,3449.17,3385.1,3446.74,3174115
15-10-2021,3311.42,3410.42,3304,3409.02,5179941
14-10-2021,3302.4541,3312.6,3290.78,3299.86,2112020
13-10-2021,3269.71,3288.38,3261.0889,3284.28,2425086
12-10-2021,3257,3267.528,3236.28,3247.33,1819571
11-10-2021,3275,3292.5899,3238.1,3246.3,2034203
08-10-2021,3317,3321.43,3288.2,3288.62,1998217
07-10-2021,3291.54,3325.746,3283.06,3302.43,2409075
06-10-2021,3213.53,3264.34,3198.62,3262.01,2532977
05-10-2021,3204.5,3260.73,3202.464,3221,3269208
04-10-2021,3279.39,3279.99,3176.25,3189.78,4523057
01-10-2021,3289.01,3309.1746,3255.94,3283.26,2835617
30-09-2021,3316,3327.85,3273.99,3285.04,2847033
29-09-2021,3322.11,3351.3,3297.87,3301.12,2562268
28-09-2021,3357.71,3369.19,3290.1001,3315.96,4430819
27-09-2021,3371.5,3415.57,3339.61,3405.8,3634450
24-09-2021,3402.01,3429.26,3393.4,3425.52,2116241
23-09-2021,3380.05,3428.96,3380.05,3416,2379414
22-09-2021,3351,3389,3341.05,3380.05,2411403
21-09-2021,3375,3379.7,3332.39,3343.63,2780878
20-09-2021,3396,3419,3305.01,3355.73,4669130
17-09-2021,3488.4146,3497.41,3452.13,3462.52,4616556
16-09-2021,3459.96,3492.55,3446.1432,3488.24,2583598
15-09-2021,3442.52,3485.42,3402.01,3475.79,2957537
14-09-2021,3475.55,3486.806,3437.7104,3450,1936897
13-09-2021,3482.8,3497.96,3438.0001,3457.17,2569022
10-09-2021,3501.8308,3508.45,3462.9055,3469.15,2397269
09-09-2021,3526.02,3549.99,3480.37,3484.16,2719241
08-09-2021,3511.65,3545.63,3495.67,3525.5,3053364
07-09-2021,3478,3528.09,3476.94,3509.29,2741184
03-09-2021,3452,3482.67,3436.44,3478.05,2578324
02-09-2021,3494.76,3511.9608,3455,3463.12,2925594
01-09-2021,3496.396,3527,3475.24,3479,3629911
31-08-2021,3424.8,3472.58,3395.59,3470.79,4356413
30-08-2021,3357.425,3445,3355.22,3421.57,3192244
27-08-2021,3333.23,3352.32,3313.75,3349.63,2402369
26-08-2021,3299,3332,3296,3316,2098761
25-08-2021,3309.87,3321,3286.15,3299.18,1680306
24-08-2021,3280,3315.4942,3274.58,3305.78,2551841
23-08-2021,3211.9,3280.9,3210.005,3265.87,3268131
20-08-2021,3203.8725,3207.81,3175.76,3199.95,3358428
19-08-2021,3194.02,3233,3182.4637,3187.75,3782862
18-08-2021,3241.99,3254.0975,3200,3201.22,2804311
17-08-2021,3277.5,3280.49,3225.68,3241.96,3387922
16-08-2021,3283,3300,3211.13,3298.99,3328494
13-08-2021,3305.67,3306.065,3283,3293.97,2034554
12-08-2021,3290,3314.51,3269.67,3303.5,2323823
11-08-2021,3331.4469,3337.7,3277.79,3292.11,2947249
10-08-2021,3345.01,3358,3315,3320.68,2412551
09-08-2021,3343.61,3354.88,3328.52,3341.87,2148220
06-08-2021,3375,3375,3329.0373,3344.94,2637644
05-08-2021,3356.22,3389,3340.92,3375.99,2433503
04-08-2021,3379.35,3388.88,3345.56,3354.72,2183945
03-08-2021,3340.72,3391,3299.77,3366.24,4157343
02-08-2021,3353.1,3358.92,3317,3331.48,3353915
